Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
Saapaad,"South Indian, Biryani, Beverages",350," Koramangala 6th Block, Bangalore",4.1,12.937017,77.624877
Nu Air Premium Cafe,"Fast Food, North Indian, Mughlai, Finger Food, Pizza",800," Frazer Town, Bangalore",4.1,12.99516234,77.61420786
Momo Hut,"Chinese, Tibetan, Momos",250," Koramangala 5th Block, Bangalore",4.1,12.93419691,77.61587854
Elements Eatery,"Continental, Steak, Chinese, Fast Food, Desserts, Beverages",1100," Frazer Town, Bangalore",4.1,13.00113807,77.59921465
5th Avenue Cafe,"Cafe, Italian, Continental",700," Koramangala 5th Block, Bangalore",4.1,12.934072,77.615702
Dodo's Smokehouse,"Burger, Pizza, Chinese, Italian, Beverages",650," Electronic City, Bangalore",4.1,12.84039061,77.65066814
Fab Cafe,"Fast Food, Wraps, Beverages",500," Rajarajeshwari Nagar, Bangalore",4.1,12.93427958,77.51745187
Daruwala,"North Indian, Chinese",1200," JP Nagar, Bangalore",4.1,12.899347,77.59447
Capri Gastrobar,"Fast Food, Finger Food",1000," St. Marks Road, Bangalore",4.1,12.97179543,77.60092322
Matsuri - The Chancery Hotel,Japanese,1800," The Chancery Hotel, Lavelle Road, Bangalore",4.1,12.97564645,77.59914961
Rajathadri Palace,"North Indian, Chinese, South Indian, Desserts, Fast Food, Beverages, Juices, Street Food",700," Uttarahalli, Bangalore",4.1,12.90753633,77.54083905
Birbal Darbar,"North Indian, Chinese, Biryani, Beverages",500," Sarjapur Road, Bangalore",4.1,12.89712772,77.71873221
The Local - Terrace Drinkery,"Continental, American, Pizza, BBQ",1300," Koramangala 6th Block, Bangalore",4.1,12.94097859,77.62446161
Hatch,"North Indian, Mangalorean, Seafood, Beverages, Chinese",1200," Malleshwaram, Bangalore",4.1,12.99415319,77.57142462
Sheesh Kebab,"Kebab, Iranian, North Indian, Biryani, Rolls",500," Frazer Town, Bangalore",4.1,13.000372,77.61672445
Wokanaka - The Casual Chinese Pitstop,"Chinese, Asian, Seafood",500," Kalyan Nagar, Bangalore",4.1,13.02205918,77.64007542
